properties{
  x = 0,
  y = 0,
  width = 256,
  height = 256,
  min_layer = 0,
  max_layer = 2,
  tileset = "dungeon/light_brown",
  music = "fortune_teller",
}

tile{
  layer = 1,
  x = 48,
  y = 64,
  width = 160,
  height = 144,
  pattern = "floor_low.1-1",
}

tile{
  layer = 1,
  x = 64,
  y = 88,
  width = 128,
  height = 8,
  pattern = "wall_border.1-1",
}

tile{
  layer = 1,
  x = 56,
  y = 96,
  width = 8,
  height = 112,
  pattern = "wall_border.3-1",
}

tile{
  layer = 1,
  x = 192,
  y = 96,
  width = 8,
  height = 112,
  pattern = "wall_border.4-1",
}

tile{
  layer = 1,
  x = 64,
  y = 208,
  width = 128,
  height = 8,
  pattern = "wall_border.2-1",
}

tile{
  layer = 1,
  x = 56,
  y = 88,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-1",
}

tile{
  layer = 1,
  x = 192,
  y = 88,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-1",
}

tile{
  layer = 1,
  x = 56,
  y = 208,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-1",
}

tile{
  layer = 1,
  x = 192,
  y = 208,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-1",
}

tile{
  layer = 1,
  x = 56,
  y = 64,
  width = 144,
  height = 24,
  pattern = "wall.1-1",
}

tile{
  layer = 1,
  x = 32,
  y = 88,
  width = 24,
  height = 128,
  pattern = "wall.3-1",
}

tile{
  layer = 1,
  x = 200,
  y = 88,
  width = 24,
  height = 128,
  pattern = "wall.4-1",
}

tile{
  layer = 1,
  x = 56,
  y = 216,
  width = 144,
  height = 24,
  pattern = "wall.2-1",
}

tile{
  layer = 1,
  x = 32,
  y = 64,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-1",
}

tile{
  layer = 1,
  x = 200,
  y = 64,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-1",
}

tile{
  layer = 1,
  x = 32,
  y = 216,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-1",
}

tile{
  layer = 1,
  x = 200,
  y = 216,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-1",
}

tile{
  layer = 1,
  x = 112,
  y = 216,
  width = 8,
  height = 16,
  pattern = "door.2.support.1-1",
}

tile{
  layer = 1,
  x = 136,
  y = 216,
  width = 8,
  height = 16,
  pattern = "door.2.support.2-1",
}

tile{
  layer = 1,
  x = 120,
  y = 216,
  width = 16,
  height = 24,
  pattern = "865",
}

tile{
  layer = 1,
  x = 120,
  y = 216,
  width = 16,
  height = 16,
  pattern = "door.2",
}

tile{
  layer = 1,
  x = 120,
  y = 232,
  width = 16,
  height = 16,
  pattern = "floor.1-2",
}

tile{
  layer = 1,
  x = 112,
  y = 232,
  width = 8,
  height = 16,
  pattern = "barrier.2-1",
}

tile{
  layer = 1,
  x = 136,
  y = 232,
  width = 8,
  height = 16,
  pattern = "barrier.2-1",
}

tile{
  layer = 1,
  x = 120,
  y = 248,
  width = 16,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 1,
  x = 32,
  y = 144,
  width = 32,
  height = 16,
  pattern = "wall_pillar.3-9",
}

tile{
  layer = 1,
  x = 192,
  y = 144,
  width = 32,
  height = 16,
  pattern = "wall_pillar.4-9",
}

tile{
  layer = 1,
  x = 56,
  y = 112,
  width = 8,
  height = 64,
  pattern = "2761",
}

tile{
  layer = 1,
  x = 192,
  y = 104,
  width = 8,
  height = 80,
  pattern = "2761",
}

tile{
  layer = 1,
  x = 64,
  y = 192,
  width = 16,
  height = 16,
  pattern = "seat.1",
}

tile{
  layer = 1,
  x = 96,
  y = 64,
  width = 16,
  height = 32,
  pattern = "wine_rack.3",
}

tile{
  layer = 1,
  x = 80,
  y = 64,
  width = 16,
  height = 32,
  pattern = "wine_rack.2",
}

tile{
  layer = 1,
  x = 64,
  y = 64,
  width = 16,
  height = 32,
  pattern = "wine_rack.1",
}

tile{
  layer = 1,
  x = 176,
  y = 64,
  width = 16,
  height = 32,
  pattern = "wine_rack.3",
}

tile{
  layer = 1,
  x = 160,
  y = 64,
  width = 16,
  height = 32,
  pattern = "wine_rack.2",
}

tile{
  layer = 1,
  x = 144,
  y = 64,
  width = 16,
  height = 32,
  pattern = "wine_rack.1",
}

tile{
  layer = 1,
  x = 56,
  y = 112,
  width = 16,
  height = 16,
  pattern = "torch_big.bottom",
}

tile{
  layer = 1,
  x = 184,
  y = 112,
  width = 16,
  height = 16,
  pattern = "torch_big.bottom",
}

tile{
  layer = 1,
  x = 192,
  y = 168,
  width = 8,
  height = 8,
  pattern = "carpet.9",
}

tile{
  layer = 1,
  x = 56,
  y = 168,
  width = 8,
  height = 8,
  pattern = "carpet.7",
}

tile{
  layer = 1,
  x = 192,
  y = 136,
  width = 8,
  height = 32,
  pattern = "carpet.6",
}

tile{
  layer = 1,
  x = 56,
  y = 136,
  width = 8,
  height = 32,
  pattern = "carpet.4",
}

tile{
  layer = 1,
  x = 64,
  y = 168,
  width = 128,
  height = 8,
  pattern = "carpet.8",
}

tile{
  layer = 1,
  x = 192,
  y = 128,
  width = 8,
  height = 8,
  pattern = "carpet.3",
}

tile{
  layer = 1,
  x = 64,
  y = 136,
  width = 128,
  height = 32,
  pattern = "carpet.5",
}

tile{
  layer = 1,
  x = 64,
  y = 128,
  width = 128,
  height = 8,
  pattern = "carpet.2",
}

tile{
  layer = 1,
  x = 56,
  y = 128,
  width = 8,
  height = 8,
  pattern = "carpet.1",
}

destination{
  name = "dest_map_kakariko_shop_0",
  layer = 1,
  x = 128,
  y = 213,
  direction = 1,
}

teletransporter{
  name = "tp_map_kakariko_shop_0",
  layer = 1,
  x = 120,
  y = 232,
  width = 16,
  height = 16,
  destination_map = "A Link To The Past/Light World/Overworld/kakariko_village",
  destination = "dest_house_kakariko_village_9",
}

npc{
  name = "green_merchant",
  layer = 1,
  x = 128,
  y = 125,
  direction = 3,
  subtype = 1,
  sprite = "npc/merchant_green",
}

wall{
  layer = 1,
  x = 120,
  y = 216,
  width = 16,
  height = 16,
  stops_npcs = true,
  stops_enemies = true,
  stops_blocks = true,
}

tile{
  layer = 2,
  x = 96,
