properties{
  x = 0,
  y = 0,
  width = 256,
  height = 256,
  min_layer = 0,
  max_layer = 2,
  tileset = "dungeon/light_brown",
  music = "same",
}

tile{
  layer = 1,
  x = 48,
  y = 64,
  width = 160,
  height = 144,
  pattern = "floor_low.1-1",
}

tile{
  layer = 1,
  x = 48,
  y = 56,
  width = 160,
  height = 8,
  pattern = "wall_border.1-1",
}

tile{
  layer = 1,
  x = 40,
  y = 64,
  width = 8,
  height = 144,
  pattern = "wall_border.3-1",
}

tile{
  layer = 1,
  x = 208,
  y = 64,
  width = 8,
  height = 144,
  pattern = "wall_border.4-1",
}

tile{
  layer = 1,
  x = 48,
  y = 208,
  width = 160,
  height = 8,
  pattern = "wall_border.2-1",
}

tile{
  layer = 1,
  x = 40,
  y = 56,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-1",
}

tile{
  layer = 1,
  x = 208,
  y = 56,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-1",
}

tile{
  layer = 1,
  x = 40,
  y = 208,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-1",
}

tile{
  layer = 1,
  x = 208,
  y = 208,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-1",
}

tile{
  layer = 1,
  x = 40,
  y = 32,
  width = 176,
  height = 24,
  pattern = "wall.1-1",
}

tile{
  layer = 1,
  x = 16,
  y = 56,
  width = 24,
  height = 160,
  pattern = "wall.3-1",
}

tile{
  layer = 1,
  x = 216,
  y = 56,
  width = 24,
  height = 160,
  pattern = "wall.4-1",
}

tile{
  layer = 1,
  x = 40,
  y = 216,
  width = 176,
  height = 24,
  pattern = "wall.2-1",
}

tile{
  layer = 1,
  x = 16,
  y = 32,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-1",
}

tile{
  layer = 1,
  x = 216,
  y = 32,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-1",
}

tile{
  layer = 1,
  x = 16,
  y = 216,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-1",
}

tile{
  layer = 1,
  x = 216,
  y = 216,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-1",
}

tile{
  layer = 1,
  x = 112,
  y = 216,
  width = 8,
  height = 16,
  pattern = "door.2.support.1-1",
}

tile{
  layer = 1,
  x = 136,
  y = 216,
  width = 8,
  height = 16,
  pattern = "door.2.support.2-1",
}

tile{
  layer = 1,
  x = 120,
  y = 216,
  width = 16,
  height = 24,
  pattern = "865",
}

tile{
  layer = 1,
  x = 120,
  y = 216,
  width = 16,
  height = 16,
  pattern = "door.2",
}

tile{
  layer = 1,
  x = 120,
  y = 232,
  width = 16,
  height = 16,
  pattern = "floor.1-2",
}

tile{
  layer = 1,
  x = 112,
  y = 232,
  width = 8,
  height = 16,
  pattern = "barrier.2-1",
}

tile{
  layer = 1,
  x = 136,
  y = 232,
  width = 8,
  height = 16,
  pattern = "barrier.2-1",
}

tile{
  layer = 1,
  x = 120,
  y = 248,
  width = 16,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 1,
  x = 56,
  y = 144,
  width = 8,
  height = 8,
  pattern = "carpet.7",
}

tile{
  layer = 1,
  x = 56,
  y = 104,
  width = 8,
  height = 8,
  pattern = "carpet.1",
}

tile{
  layer = 1,
  x = 64,
  y = 112,
  width = 128,
  height = 32,
  pattern = "carpet.5",
}

tile{
  layer = 1,
  x = 64,
  y = 104,
  width = 128,
  height = 8,
  pattern = "carpet.2",
}

tile{
  layer = 1,
  x = 64,
  y = 144,
  width = 128,
  height = 8,
  pattern = "carpet.8",
}

tile{
  layer = 1,
  x = 192,
  y = 104,
  width = 8,
  height = 8,
  pattern = "carpet.3",
}

tile{
  layer = 1,
  x = 192,
  y = 144,
  width = 8,
  height = 8,
  pattern = "carpet.9",
}

tile{
  layer = 1,
  x = 56,
  y = 112,
  width = 8,
  height = 32,
  pattern = "carpet.4",
}

tile{
  layer = 1,
  x = 192,
  y = 112,
  width = 8,
  height = 32,
  pattern = "carpet.6",
}

tile{
  layer = 1,
  x = 40,
  y = 136,
  width = 16,
  height = 16,
  pattern = "torch_big.bottom",
}

tile{
  layer = 1,
  x = 200,
  y = 136,
  width = 16,
  height = 16,
  pattern = "torch_big.bottom",
}

tile{
  layer = 1,
  x = 40,
  y = 176,
  width = 8,
  height = 16,
  pattern = "counter.7",
}

tile{
  layer = 1,
  x = 80,
  y = 176,
  width = 8,
  height = 16,
  pattern = "counter.9",
}

tile{
  layer = 1,
  x = 48,
  y = 176,
  width = 32,
  height = 16,
  pattern = "counter.8",
}

tile{
  layer = 1,
  x = 168,
  y = 176,
  width = 8,
  height = 16,
  pattern = "counter.7",
}

tile{
  layer = 1,
  x = 208,
  y = 176,
  width = 8,
  height = 16,
  pattern = "counter.9",
}

tile{
  layer = 1,
  x = 176,
  y = 176,
  width = 32,
  height = 16,
  pattern = "counter.8",
}

tile{
  layer = 1,
  x = 168,
  y = 168,
  width = 8,
  height = 8,
  pattern = "counter.1",
}

tile{
  layer = 1,
  x = 208,
  y = 168,
  width = 8,
  height = 8,
  pattern = "counter.3",
}

tile{
  layer = 1,
  x = 176,
  y = 168,
  width = 32,
  height = 8,
  pattern = "counter.2",
}

tile{
  layer = 1,
  x = 40,
  y = 168,
  width = 8,
  height = 8,
  pattern = "counter.1",
}

tile{
  layer = 1,
  x = 80,
  y = 168,
  width = 8,
  height = 8,
  pattern = "counter.3",
}

tile{
  layer = 1,
  x = 48,
  y = 168,
  width = 32,
  height = 8,
  pattern = "counter.2",
}

tile{
  layer = 1,
  x = 48,
  y = 168,
  width = 8,
  height = 16,
  pattern = "wine_bottle",
}

tile{
  layer = 1,
  x = 56,
  y = 168,
  width = 8,
  height = 16,
  pattern = "wine_bottle",
}

tile{
  layer = 1,
  x = 64,
  y = 216,
  width = 32,
  height = 24,
  pattern = "window.2-2",
}

tile{
  layer = 1,
  x = 160,
  y = 216,
  width = 32,
  height = 24,
  pattern = "window.2-2",
}

tile{
  layer = 1,
  x = 200,
  y = 96,
  width = 8,
  height = 8,
  pattern = "table.9",
}

tile{
  layer = 1,
  x = 144,
  y = 80,
  width = 8,
  height = 16,
